disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
NHT1002-15;6;328;349;328;21
NHZ1027-15;2;65;65;65;0
ESZB022-17;2;60;93;60;33
MCTA002-17;3;180;166;166;0
MCTA003-17;1;10;25;10;15
MCZA002-17;2;120;67;67;0
MCTA004-17;3;130;134;116;18
MCTA037-17;4;240;277;180;97
MCZA006-17;1;10;16;10;6
MCTA008-17;2;120;121;107;14
MCTA033-15;4;190;155;150;5
MCTA014-15;2;120;173;120;53
MCTA015-13;3;180;124;124;0
MCZA015-13;3;130;106;95;11
MCZA017-13;1;60;25;25;0
MCZA042-17;1;60;24;24;0
MCTA028-15;7;426;415;375;40
MCTA017-17;2;120;132;115;17
MCZA019-17;2;120;100;91;9
MCTA022-17;3;180;157;152;5
MCTA023-17;2;120;80;80;0
MCTA026-13;3;120;98;95;3
MCTA027-17;2;120;120;111;9
ESZA019-17;1;10;45;10;35
BIR0603-15;18;1038;554;545;9
BIL0304-15;4;90;60;37;23
BCN0407-15;4;240;216;176;40
BCK0104-15;7;350;583;350;233
NHT1053-15;4;121;72;72;0
NHT1013-15;2;60;23;23;0
NHZ1014-15;1;35;26;26;0
NHT1073-15;2;61;36;36;0
NHT1062-15;1;30;27;27;0
NHT1055-15;2;61;41;41;0
NHT1061-15;2;60;36;36;0
NHT1054-15;1;30;16;16;0
NHT1058-15;2;66;66;66;0
NHT1048-15;1;30;20;20;0
NHT1049-15;2;70;7;7;0
NHZ1051-13;1;35;28;28;0
BHO0101-15;4;360;53;25;28
BHQ0002-15;6;331;333;311;22
BHO1335-15;4;360;75;25;50
BHQ0001-15;2;100;138;100;38
BHQ0003-15;2;100;126;100;26
BHO0002-19;4;360;60;25;35
BHS0001-15;2;120;209;120;89
BHP0202-19;2;94;85;85;0
BHQ0301-15;2;110;174;110;64
ESHC002-17;2;141;205;141;64
ESHC035-17;1;30;0;0;0
ESHC036-17;4;129;108;108;0
ESHC008-17;2;176;176;176;0
ESHC034-17;2;136;136;136;0
ESHC014-17;2;139;139;139;0
ESHC038-17;2;177;177;177;0
ESHC028-17;2;155;170;155;15
ESTO013-17;5;395;365;365;0
ESHC016-17;2;127;138;127;11
ESHC017-17;2;130;130;130;0
ESHC018-17;2;164;201;164;37
ESHC019-17;2;109;109;109;0
ESHC032-17;2;110;152;110;42
ESHC031-17;2;105;92;92;0
ESHC026-17;2;150;210;150;60
NHZ2002-11;1;45;12;12;0
NHH2007-13;2;90;42;42;0
NHH2009-13;1;45;24;24;0
NHH2012-13;2;90;12;12;0
NHH2015-13;2;90;7;7;0
NHH2020-13;2;90;11;11;0
NHZ2021-11;1;45;30;30;0
NHH2033-13;2;90;24;24;0
NHH2035-13;2;90;56;56;0
NHH2038-13;2;90;14;14;0
NHZ2043-11;2;90;39;39;0
NHI2049-13;4;240;284;177;107
NHZ2051-11;1;45;7;7;0
NHH2064-13;2;90;10;10;0
NHH2073-13;2;90;12;12;0
NHZ2075-11;1;45;2;2;0
NHT3067-15;2;60;33;33;0
NHT3071-15;2;60;27;27;0
NHZ3007-15;1;30;6;6;0
NHT3012-15;2;60;46;41;5
NHZ3020-15;1;30;7;7;0
NHZ3024-15;1;30;8;8;0
NHZ3075-15;1;30;3;3;0
NHT3072-15;2;59;28;28;0
NHZ3043-15;2;60;58;43;15
NHZ3053-15;1;30;11;11;0
NHT3089-15;1;25;7;7;0
MCTB003-17;1;45;7;7;0
MCTB004-17;1;45;17;17;0
MCTB005-13;1;45;36;36;0
MCTB008-17;1;45;31;31;0
MCTB009-17;6;360;415;341;74
MCTB018-17;1;45;18;18;0
MCTB021-17;1;45;16;16;0
MCZB029-17;1;45;4;4;0
MCZB030-17;1;45;13;13;0
MCTB024-13;1;45;5;5;0
MCTB025-13;1;45;5;5;0
MCTB027-13;1;45;4;4;0
MCZC004-15;2;45;11;8;3
MCTC002-15;3;135;109;98;11
MCZC003-15;2;92;71;71;0
MCTC023-15;2;90;52;52;0
MCZC008-13;2;90;67;67;0
MCTC019-15;2;90;52;52;0
MCZC016-15;2;91;81;81;0
MCTC022-15;2;94;82;82;0
MCTC011-15;2;90;98;79;19
MCZC012-15;2;90;44;44;0
BCL0306-15;32;1524;68;68;0
ESHT025-17;2;83;62;62;0
ESHT006-17;2;120;52;52;0
ESHT008-17;2;137;120;120;0
ESTU039-17;2;90;62;62;0
ESZT015-17;1;40;35;35;0
ESTU021-17;3;225;101;101;0
ESZT016-17;2;85;66;66;0
ESHT024-17;2;76;27;27;0
ESHP005-13;2;110;208;110;98
ESHP023-14;2;106;99;99;0
ESZP044-14;2;90;74;74;0
ESHP024-14;2;90;40;40;0
ESHP016-13;4;240;241;179;62
ESHP020-13;2;92;77;77;0
ESHP029-14;2;92;77;77;0
NHZ1009-15;3;60;42;34;8
NHZ4004-15;2;30;19;19;0
NHT4006-15;2;60;23;23;0
NHT4049-15;2;60;30;30;0
NHT4017-15;2;60;48;48;0
NHT4023-15;2;30;13;9;4
NHT4024-15;2;60;24;24;0
NHZ4062-15;1;30;70;30;40
NHT4025-15;2;95;28;28;0
NHZ4028-15;2;60;25;25;0
NHZ4029-15;2;60;13;13;0
NHT3049-15;2;60;26;26;0
NHZ4064-15;1;30;12;12;0
NHT4057-15;2;60;28;28;0
NHT4055-15;2;60;25;25;0
NHT4046-15;1;30;12;12;0
ESHR001-13;3;198;197;194;3
ESHR002-13;2;132;140;130;10
ESHR003-13;4;264;235;235;0
