disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
BCJ0203-15;16;480;361;338;60
BCJ0204-15;52;1668;1345;1379;79
BCK0103-15;18;1620;761;821;0
BCL0306-15;18;1728;1438;1550;0
BCL0308-15;42;1260;1090;1069;139
BCM0504-15;18;1728;1522;1579;14
BCM0506-15;3;270;346;362;0
BCN0402-15;18;1728;1825;1851;0
BCN0404-15;18;1728;1570;1611;0
BCS0001-15;16;480;751;596;166
BCS0002-15;10;430;486;399;121
BHO0002-19;4;360;414;383;31
BHO0101-15;4;360;337;370;0
BHO1335-15;4;360;337;365;6
BHP0001-15;2;180;192;169;30
BHP0202-15;4;360;369;359;21
BHQ0002-15;1;90;121;99;25
BHQ0301-15;2;180;173;162;21
BHS0005-19;2;120;226;120;106
BIJ0207-15;3;270;151;211;0
BIK0102-15;4;360;155;148;28
BIL0304-15;4;360;81;62;47
BIQ0602-15;8;720;1008;719;334
BIR0004-15;8;720;689;688;81
BIR0603-15;12;1080;875;850;115
BIS0003-15;10;900;748;854;0
BIS0005-15;4;120;233;120;113
ESHC002-17;2;160;208;160;58
ESHC007-21;2;180;134;133;14
ESHC016-17;2;180;182;140;54
ESHC017-17;2;150;190;150;60
ESHC019-17;2;150;194;180;32
ESHC020-17;2;180;95;251;84
ESHC022-17;2;180;191;153;57
ESHC024-19;2;150;86;107;0
ESHC025-17;2;150;190;149;57
ESHC027-21;1;75;62;74;0
ESHC029-21;2;150;53;64;0
ESHC033-21;2;180;142;144;8
ESHC036-21;3;126;99;108;0
ESHC037-21;2;84;66;59;10
ESHP005-13;2;120;194;179;14
ESHP014-13;2;120;90;104;0
ESHP016-13;3;126;98;108;0
ESHP020-13;2;180;69;107;0
ESHP023-14;2;120;132;139;0
ESHP024-14;2;120;54;70;0
ESHP025-14;2;60;112;89;22
ESHP029-14;2;100;60;78;0
ESHR001-13;2;180;169;168;19
ESHR003-13;2;180;153;179;18
ESHR011-13;2;180;221;180;41
ESHR012-13;2;180;143;152;5
ESHR014-13;2;180;168;153;24
ESHR019-13;2;180;195;180;23
ESHR022-14;2;180;188;171;25
ESHR023-14;2;180;155;168;3
ESHR027-14;2;180;168;0;168
ESHR028-14;2;180;167;170;9
ESHR903-18;2;80;72;70;11
ESHT002-17;2;60;31;42;0
ESHT003-17;2;84;48;58;0
ESHT006-17;2;76;106;90;15
ESHT007-17;1;50;49;50;0
ESHT008-17;2;76;96;84;12
ESHT014-17;2;60;37;35;2
ESHT024-17;2;68;21;30;3
ESTA001-17;6;174;90;123;0
ESTA002-17;2;62;57;62;0
ESTA003-17;4;117;109;95;16
ESTA004-17;7;210;96;90;13
ESTA005-17;2;120;49;62;0
ESTA006-17;2;40;29;33;0
ESTA007-17;1;30;37;35;0
ESTA010-17;1;30;10;15;0
ESTA011-17;1;30;35;29;5
