CURSO;DISCIPLINA;QUANTIDADE DE TURMAS;TOTAL DE VAGAS;QUANTIDADE DE SOLICITAÇÕES;QUANTIDADE DE MATRÍCULAS DEFERIDAS;QUANTIDADE DE MATRÍCULAS INDEFERIDAS
BACHARELADO EM BIOTECNOLOGIA;NHZ6007-18;1;50;36;36;0
BACHARELADO EM BIOTECNOLOGIA;NHZ6010-18;1;30;15;15;0
BACHARELADO EM BIOTECNOLOGIA;NHZ6016-18;1;30;26;26;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;ESZA019-17;1;10;30;10;20
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA002-17;5;216;181;181;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA003-17;1;10;20;10;10
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA004-17;2;193;207;190;17
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA008-17;4;163;161;146;15
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA014-15;3;255;270;236;34
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA017-17;2;165;146;146;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA027-17;3;214;188;188;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA028-15;19;785;749;617;132
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCTA037-17;7;286;401;-53;454
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA008-17;1;10;27;10;17
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA015-13;1;48;67;48;19
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA018-17;1;48;14;14;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA019-17;1;48;105;48;57
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA042-17;1;40;22;22;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA047-17;2;10;6;5;1
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA049-17;1;40;64;40;24
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZA050-17;1;48;16;16;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;MCZB015-13;1;74;81;74;7
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NHI2049-13;6;535;490;490;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCJ0204-15;75;2376;2343;2040;303
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCK0103-15;18;1260;1132;1074;58
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCL0306-15;18;1720;1414;1414;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCL0308-15;39;1050;1112;565;547
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCM0504-15;18;1719;1424;1424;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCM0505-15;4;212;206;206;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCM0506-15;3;298;249;236;13
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCN0402-15;26;2333;2129;2108;21
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCN0404-15;23;2040;1855;1815;40
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BCN0405-15;6;541;241;241;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BIJ0207-15;3;270;139;139;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BIK0102-15;4;360;154;154;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BIL0304-15;4;360;110;110;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;BIN0406-15;8;630;410;410;0
